text,parameter,value,unit,reference,method
"Platelet Count 318 X 10³/µL 150 - 410 Impedance","Platelet Count","318","X 10³/µL","150 - 410","Impedance"
"WBC 7.09 X 10³/µL 4.0 - 10.0 Flow Cytometry","WBC","7.09","X 10³/µL","4.0 - 10.0","Flow Cytometry"
"Hemoglobin 12.8 g/dL 12.0 - 15.0 Photometry","Hemoglobin","12.8","g/dL","12.0 - 15.0","Photometry"
"MCHC 30.9 g/dL 31.5 - 34.5 Calculated","MCHC","30.9","g/dL","31.5 - 34.5","Calculated"
"Creatinine 1.41 mg/dL 0.60 - 1.25 Enzymatic","Creatinine","1.41","mg/dL","0.60 - 1.25","Enzymatic"
"Blood Urea 53 mg/dL 19 - 43 Enzymatic","Blood Urea","53","mg/dL","19 - 43","Enzymatic"
"Glucose 96 mg/dL 70 - 100 Hexokinase","Glucose","96","mg/dL","70 - 100","Hexokinase"
"Total Cholesterol 185 mg/dL <200 Enzymatic","Total Cholesterol","185","mg/dL","<200","Enzymatic"
"HDL Cholesterol 48 mg/dL >40 Enzymatic","HDL Cholesterol","48","mg/dL",">40","Enzymatic"
"Triglycerides 168 mg/dL <150 Enzymatic","Triglycerides","168","mg/dL","<150","Enzymatic"
"Urinary pH 6.0 5.0 - 8.0 Dipstick","Urinary pH","6.0","","5.0 - 8.0","Dipstick"
"Urinary Specific Gravity 1.020 1.005 - 1.030 Dipstick","Urinary Specific Gravity","1.020","","1.005 - 1.030","Dipstick"
"Urine Protein Negative Negative - Trace Dipstick","Urine Protein","Negative","","Negative - Trace","Dipstick"
"Urine Glucose Negative Negative Dipstick","Urine Glucose","Negative","","Negative","Dipstick"
"Vitamin B12 312 pg/mL 200 - 900 ECLIA","Vitamin B12","312","pg/mL","200 - 900","ECLIA"
"Vitamin D 28.4 ng/mL 30 - 100 ECLIA","Vitamin D","28.4","ng/mL","30 - 100","ECLIA"
"TSH 3.21 µIU/mL 0.4 - 4.5 ECLIA","TSH","3.21","µIU/mL","0.4 - 4.5","ECLIA"
