token,label
Serum,B-PARAMETER
Creatinine,I-PARAMETER
1.32,B-VALUE
mg/dL,B-UNIT
0.60,B-REF_LOW
-,B-REF_SEPARATOR
1.25,B-REF_HIGH
Enzymatic,B-METHOD
Platelet,B-PARAMETER
Count,I-PARAMETER
275,B-VALUE
X,B-UNIT
10³/µL,I-UNIT
150,B-REF_LOW
-,B-REF_SEPARATOR
410,B-REF_HIGH
Impedance,B-METHOD
Hemoglobin,B-PARAMETER
12.8,B-VALUE
g/dL,B-UNIT
12.0,B-REF_LOW
-,B-REF_SEPARATOR
15.0,B-REF_HIGH
Photometry,B-METHOD
WBC,B-PARAMETER
7.09,B-VALUE
X,B-UNIT
10³/µL,I-UNIT
4.0,B-REF_LOW
-,B-REF_SEPARATOR
10.0,B-REF_HIGH
Flow,B-METHOD
Cytometry,I-METHOD
TSH,B-PARAMETER
2.85,B-VALUE
µIU/mL,B-UNIT
0.4,B-REF_LOW
-,B-REF_SEPARATOR
4.5,B-REF_HIGH
ECLIA,B-METHOD
Vitamin,B-PARAMETER
D,I-PARAMETER
28.4,B-VALUE
ng/mL,B-UNIT
30,B-REF_LOW
-,B-REF_SEPARATOR
100,B-REF_HIGH
ECLIA,B-METHOD
Blood,B-PARAMETER
Urea,I-PARAMETER
53,B-VALUE
mg/dL,B-UNIT
19,B-REF_LOW
-,B-REF_SEPARATOR
43,B-REF_HIGH
Enzymatic,B-METHOD
Glucose,B-PARAMETER
96,B-VALUE
mg/dL,B-UNIT
70,B-REF_LOW
-,B-REF_SEPARATOR
100,B-REF_HIGH
Hexokinase,B-METHOD
